SITECODE	SITETYPE	CELLCODE
BE33036C0	C	1kmE4045N3047
BE33036C0	C	1kmE4045N3048
BE33036C0	C	1kmE4046N3047
BE33036C0	C	1kmE4046N3048
BE33036C0	C	1kmE4046N3049
BE33036C0	C	1kmE4046N3050
BE33036C0	C	1kmE4047N3047
BE33036C0	C	1kmE4047N3048
BE33036C0	C	1kmE4047N3049
BE33036C0	C	1kmE4047N3050
BE33036C0	C	1kmE4047N3051
BE33036C0	C	1kmE4048N3046
BE33036C0	C	1kmE4048N3047
BE33036C0	C	1kmE4048N3048
BE33036C0	C	1kmE4048N3049
BE33036C0	C	1kmE4048N3050
BE33036C0	C	1kmE4048N3051
BE33036C0	C	1kmE4048N3052
BE33036C0	C	1kmE4048N3053
BE33036C0	C	1kmE4048N3054
BE33036C0	C	1kmE4049N3046
BE33036C0	C	1kmE4049N3047
BE33036C0	C	1kmE4049N3048
BE33036C0	C	1kmE4049N3049
BE33036C0	C	1kmE4049N3050
BE33036C0	C	1kmE4049N3051
BE33036C0	C	1kmE4049N3052
BE33036C0	C	1kmE4049N3053
BE33036C0	C	1kmE4049N3054
BE33036C0	C	1kmE4049N3055
BE33036C0	C	1kmE4049N3056
BE33036C0	C	1kmE4050N3048
BE33036C0	C	1kmE4050N3049
BE33036C0	C	1kmE4050N3050
BE33036C0	C	1kmE4050N3051
BE33036C0	C	1kmE4050N3052
BE33036C0	C	1kmE4050N3053
BE33036C0	C	1kmE4050N3054
BE33036C0	C	1kmE4050N3055
BE33036C0	C	1kmE4050N3056
BE33036C0	C	1kmE4051N3049
BE33036C0	C	1kmE4051N3050
BE33036C0	C	1kmE4051N3051
BE33036C0	C	1kmE4051N3052
BE33036C0	C	1kmE4052N3049
BE33036C0	C	1kmE4052N3050
BE33036C0	C	1kmE4052N3051
BE33036C0	C	1kmE4052N3052
BE33036C0	C	1kmE4053N3049
BE33036C0	C	1kmE4053N3050
BE35029C0	C	1kmE3929N3020
BE35029C0	C	1kmE3931N3018
BE35029C0	C	1kmE3931N3019
BE35029C0	C	1kmE3931N3021
BE35029C0	C	1kmE3932N3018
BE35029C0	C	1kmE3932N3019
BE35029C0	C	1kmE3932N3020
BE35029C0	C	1kmE3932N3021
BE35029C0	C	1kmE3932N3022
BE35029C0	C	1kmE3933N3016
BE35029C0	C	1kmE3933N3018
BE35029C0	C	1kmE3933N3019
BE35029C0	C	1kmE3933N3020
BE35029C0	C	1kmE3933N3022
BE35029C0	C	1kmE3934N3015
BE35029C0	C	1kmE3934N3016
BE35029C0	C	1kmE3934N3017
BE35029C0	C	1kmE3934N3018
BE35029C0	C	1kmE3934N3019
BE35029C0	C	1kmE3934N3020
BE35029C0	C	1kmE3934N3021
BE35029C0	C	1kmE3934N3022
BE35029C0	C	1kmE3935N3015
BE35029C0	C	1kmE3935N3016
BE35029C0	C	1kmE3935N3017
BE35029C0	C	1kmE3935N3018
BE35029C0	C	1kmE3935N3019
BE35029C0	C	1kmE3935N3020
BE35029C0	C	1kmE3935N3021
BE35029C0	C	1kmE3936N3015
BE35029C0	C	1kmE3936N3016
BE35029C0	C	1kmE3936N3017
BE35029C0	C	1kmE3936N3018
BE35029C0	C	1kmE3936N3019
BE35029C0	C	1kmE3936N3020
BE35029C0	C	1kmE3936N3021
BE35029C0	C	1kmE3937N3015
BE35029C0	C	1kmE3937N3016
BE35029C0	C	1kmE3937N3017
BE35029C0	C	1kmE3937N3018
BE35029C0	C	1kmE3937N3019
BE35029C0	C	1kmE3937N3020
BE35029C0	C	1kmE3937N3021
BE35029C0	C	1kmE3938N3014
BE35029C0	C	1kmE3938N3015
BE35029C0	C	1kmE3938N3016
BE35029C0	C	1kmE3938N3017
BE35029C0	C	1kmE3938N3018
BE35029C0	C	1kmE3938N3019
BE35029C0	C	1kmE3938N3020
BE35029C0	C	1kmE3938N3021
BE35029C0	C	1kmE3939N3014
BE35029C0	C	1kmE3939N3015
BE35029C0	C	1kmE3939N3016
BE35029C0	C	1kmE3939N3017
BE35029C0	C	1kmE3939N3018
BE35029C0	C	1kmE3939N3019
BE35029C0	C	1kmE3939N3020
BE35029C0	C	1kmE3939N3021
BE35029C0	C	1kmE3940N3015
BE35029C0	C	1kmE3940N3016
BE35029C0	C	1kmE3940N3017
BE35029C0	C	1kmE3940N3018
BE35029C0	C	1kmE3940N3019
BE35029C0	C	1kmE3941N3015
BE35029C0	C	1kmE3941N3016
BE35029C0	C	1kmE3941N3017
BE35029C0	C	1kmE3941N3018
BE35029C0	C	1kmE3941N3019
BE35029C0	C	1kmE3942N3017
BE35029C0	C	1kmE3942N3018
BE35029C0	C	1kmE3942N3019
BE35029C0	C	1kmE3943N3016
BE35029C0	C	1kmE3943N3017
BE35029C0	C	1kmE3943N3018
BE35029C0	C	1kmE3943N3019
BE35029C0	C	1kmE3944N3016
BE35029C0	C	1kmE3944N3017
BE35029C0	C	1kmE3944N3018
BE35029C0	C	1kmE3944N3019
BE35029C0	C	1kmE3945N3016
BE35029C0	C	1kmE3945N3017
BE35029C0	C	1kmE3945N3018
BE35029C0	C	1kmE3945N3019
BE35029C0	C	1kmE3946N3016
BE35029C0	C	1kmE3946N3017
BE35029C0	C	1kmE3946N3018
BE35029C0	C	1kmE3946N3019
BE35029C0	C	1kmE3947N3018
