SITECODE	SITENAME	SITETYPE	flanders	wallonia	brussels
BE31001C0	Affluents brabançons de la Senne	C	FALSE	TRUE	FALSE
BE32007C0	Bois de la Houssière	C	FALSE	TRUE	FALSE
BE2200043	Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik	B	TRUE	FALSE	FALSE
BE34061C0	Vallées de Laclaireau et du Rabais	C	FALSE	TRUE	FALSE
BE35008C0	Vallée du Burnot	C	FALSE	TRUE	FALSE
BE35010C0	Vallée du Bocq	C	FALSE	TRUE	FALSE
BE35014C0	Bois de Famenne à Waillet	C	FALSE	TRUE	FALSE
BE35018C0	Bassin de l'Hermeton en aval de Vodelée	C	FALSE	TRUE	FALSE
BE34039C0	Haute-Sûre	C	FALSE	TRUE	FALSE
BE34048C0	Bassin de la Semois de Jamoigne à Chiny	C	FALSE	TRUE	FALSE
BE2500121	Westkust	A	TRUE	FALSE	FALSE
BE32029C0	Haute vallée de la Thure	C	FALSE	TRUE	FALSE
BE35046C0	Vallée du Ruisseau de Gros Fays	C	FALSE	TRUE	FALSE
BE34034C0	Sources du Ruisseau de Tavigny	C	FALSE	TRUE	FALSE
BE34038C0	Bassin supérieur de l'Ourthe occidentale	C	FALSE	TRUE	FALSE
BE34030C0	Forêt de Freyr	C	FALSE	TRUE	FALSE
BE34033C0	Etangs de Longchamps et de Noville	C	FALSE	TRUE	FALSE
BE2100017	Bos- en heidegebieden ten oosten van Antwerpen	B	TRUE	FALSE	FALSE
BE2200032	Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen	B	TRUE	FALSE	FALSE
BE32006C0	Bois d'Enghien et de Silly	C	FALSE	TRUE	FALSE
BE34050C0	Bassin de la Semois entre Tintigny et Jamoigne	C	FALSE	TRUE	FALSE
BE2100024	Vennen, heiden en moerassen rond Turnhout	B	TRUE	FALSE	FALSE
BE2400008	Zoniënwoud	B	TRUE	FALSE	FALSE
BE2200030	Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode	B	TRUE	FALSE	FALSE
BE2200037	Uiterwaarden langs de Limburgse Maas met Vijverbroek	B	TRUE	FALSE	FALSE
BE2200041	Jekervallei en bovenloop van de Demervallei	B	TRUE	FALSE	FALSE
BE2200042	Overgang Kempen-Haspengouw	B	TRUE	FALSE	FALSE
BE2200038	Bossen en kalkgraslanden van Haspengouw	B	TRUE	FALSE	FALSE
BE2101437	De Maatjes, Wuustwezelheide en Groot Schietveld	A	TRUE	FALSE	FALSE
BE2219312	Vijvercomplex van Midden Limburg	A	TRUE	FALSE	FALSE
BE2500831	Ijzervallei	A	TRUE	FALSE	FALSE
BE32008B0	Bois d'Arpes et de l'Hôpital	B	FALSE	TRUE	FALSE
BE32037C0	Massifs forestiers entre Momignies et Chimay	C	FALSE	TRUE	FALSE
BE2100323	Kalmthoutse Heide	A	TRUE	FALSE	FALSE
BE33005C0	Vallée du Ruisseau de Bolland	C	FALSE	TRUE	FALSE
BE32002C0	Vallée de l'Escaut en aval de Tournai	C	FALSE	TRUE	FALSE
BE32004C0	Vallée de la Rhosnes	C	FALSE	TRUE	FALSE
BE32015B0	Canal souterrain de la Bête Refaite	B	FALSE	TRUE	FALSE
BE32034C0	Bois Massart et forêts de Sivry-Rance	C	FALSE	TRUE	FALSE
BE34044C0	Vallée du Ruisseau des Aleines	C	FALSE	TRUE	FALSE
BE33013C0	Bois de la Neuville et de la Vecquée	C	FALSE	TRUE	FALSE
BE32042B0	Vallée du Ruisseau d'Erpion	B	FALSE	TRUE	FALSE
BE33022C0	La Gileppe	C	FALSE	TRUE	FALSE
BE32046C0	Vallée du Piéton	C	FALSE	TRUE	FALSE
BE33045C0	Sources de la Warchenne	C	FALSE	TRUE	FALSE
BE33039C0	Vallée de l'Olefbach	C	FALSE	TRUE	FALSE
BE33040C0	Fagnes de Stavelot et vallée de l'Eau Rouge	C	FALSE	TRUE	FALSE
BE33053C0	Noir Ru et Vallée du Rechterbach	C	FALSE	TRUE	FALSE
BE33049C0	Mardelles d'Arbrefontaine et vallons fangeux de Fosse	C	FALSE	TRUE	FALSE
BE33060C0	Haute vallée de la Lienne	C	FALSE	TRUE	FALSE
BE33006C0	Vallée de la Gueule en aval de Kelmis	C	FALSE	TRUE	FALSE
BE33057C0	Vallée du Kolvenderbach	C	FALSE	TRUE	FALSE
BE33059C0	Sources de l'Our et de l'Ensebach	C	FALSE	TRUE	FALSE
BE33064C0	Vallée de l'Ulf	C	FALSE	TRUE	FALSE
