taxonKey	canonicalName	kingdomKey	classKey	class	kingdom
2287615	Petricolaria pholadiformis	1	137	Bivalvia	Animalia
2296807	Cochlicella barbara	1	225	Gastropoda	Animalia
4562917	Cochlicella acuta	1	225	Gastropoda	Animalia
5192789	Crepidula fornicata	1	225	Gastropoda	Animalia
4564944	Xerosecta cespitum	1	225	Gastropoda	Animalia
7791733	Mya arenaria	1	137	Bivalvia	Animalia
2287072	Dreissena polymorpha	1	137	Bivalvia	Animalia
2294277	Theba pisana	1	225	Gastropoda	Animalia
2287076	Mytilopsis leucophaeata	1	137	Bivalvia	Animalia
5192470	Potamopyrgus antipodarum	1	225	Gastropoda	Animalia
5777912	Lithoglyphus naticoides	1	225	Gastropoda	Animalia
5189806	Physella acuta	1	225	Gastropoda	Animalia
2769766	Ruscus aculeatus	6	196	Liliopsida	Plantae
3728894	Phelipanche ramosa	6	220	Magnoliopsida	Plantae
5375547	Erucastrum gallicum	6	220	Magnoliopsida	Plantae
5371889	Oenanthe pimpinelloides	6	220	Magnoliopsida	Plantae
3172104	Veronica peregrina	6	220	Magnoliopsida	Plantae
8243150	Spirobassia hirsuta	6	220	Magnoliopsida	Plantae
1718308	Acheta domesticus	1	216	Insecta	Animalia
1713034	Gryllus bimaculatus	1	216	Insecta	Animalia
5384848	Silene gallica	6	220	Magnoliopsida	Plantae
3046812	Sisymbrium orientale	6	220	Magnoliopsida	Plantae
5374672	Barbarea verna	6	220	Magnoliopsida	Plantae
2972595	Onobrychis viciifolia	6	220	Magnoliopsida	Plantae
2975257	Vicia hybrida	6	220	Magnoliopsida	Plantae
3042439	Camelina rumelica	6	220	Magnoliopsida	Plantae
3089150	Xanthium spinosum	6	220	Magnoliopsida	Plantae
7298858	Valerianella coronata	6	220	Magnoliopsida	Plantae
5383969	Blitum virgatum	6	220	Magnoliopsida	Plantae
5384373	Amaranthus graecizans	6	220	Magnoliopsida	Plantae
5356973	Lotus maritimus	6	220	Magnoliopsida	Plantae
3050357	Bunias erucago	6	220	Magnoliopsida	Plantae
5371709	Adonis annua	6	220	Magnoliopsida	Plantae
2927530	Cuscuta epilinum	6	220	Magnoliopsida	Plantae
2888298	Moneses uniflora	6	220	Magnoliopsida	Plantae
3114643	Carduus acanthoides	6	220	Magnoliopsida	Plantae
2874024	Tuberaria guttata	6	220	Magnoliopsida	Plantae
6363496	Dianthus superbus	6	220	Magnoliopsida	Plantae
5359194	Trifolium squamosum	6	220	Magnoliopsida	Plantae
2705449	Eragrostis minor	6	196	Liliopsida	Plantae
5646136	Elatine alsinastrum	6	220	Magnoliopsida	Plantae
5350000	Securigera varia	6	220	Magnoliopsida	Plantae
2916662	Asperula arvensis	6	220	Magnoliopsida	Plantae
2784401	Traunsteinera globosa	6	196	Liliopsida	Plantae
2873991	Aristolochia clematitis	6	220	Magnoliopsida	Plantae
2865448	Elodea canadensis	6	196	Liliopsida	Plantae
5299536	Tulipa sylvestris	6	196	Liliopsida	Plantae
2703346	Anthoxanthum nitens	6	196	Liliopsida	Plantae
7267309	Silene baccifera	6	220	Magnoliopsida	Plantae
3042399	Camelina alyssum	6	220	Magnoliopsida	Plantae
5359395	Trifolium angustifolium	6	220	Magnoliopsida	Plantae
3040913	Conringia orientalis	6	220	Magnoliopsida	Plantae
3031774	Mespilus germanica	6	220	Magnoliopsida	Plantae
2925756	Lappula squarrosa	6	220	Magnoliopsida	Plantae
5376994	Lepidium graminifolium	6	220	Magnoliopsida	Plantae
6409706	Salvia verbenaca	6	220	Magnoliopsida	Plantae
5341754	Nicandra physalodes	6	220	Magnoliopsida	Plantae
2702793	Briza minor	6	196	Liliopsida	Plantae
2891390	Geranium phaeum	6	220	Magnoliopsida	Plantae
5403508	Crepis tectorum	6	220	Magnoliopsida	Plantae
3034523	Caucalis platycarpos	6	220	Magnoliopsida	Plantae
2927028	Salvia nemorosa	6	220	Magnoliopsida	Plantae
5341387	Hyssopus officinalis	6	220	Magnoliopsida	Plantae
5376692	Lepidium latifolium	6	220	Magnoliopsida	Plantae
2879098	Quercus ilex	6	220	Magnoliopsida	Plantae
3033227	Eranthis hyemalis	6	220	Magnoliopsida	Plantae
5341204	Pulmonaria officinalis	6	220	Magnoliopsida	Plantae
5377060	Lepidium didymum	6	220	Magnoliopsida	Plantae
3172118	Veronica longifolia	6	220	Magnoliopsida	Plantae
7706146	Crepis nicaeensis	6	220	Magnoliopsida	Plantae
9073641	Camelina sativa	6	220	Magnoliopsida	Plantae
2889378	Fagopyrum tataricum	6	220	Magnoliopsida	Plantae
3053522	Berteroa incana	6	220	Magnoliopsida	Plantae
2888513	Pseudofumaria lutea	6	220	Magnoliopsida	Plantae
3128228	Centaurea nigrescens	6	220	Magnoliopsida	Plantae
3085320	Vaccaria hispanica	6	220	Magnoliopsida	Plantae
3085360	Saponaria officinalis	6	220	Magnoliopsida	Plantae
7172720	Sedum dasyphyllum	6	220	Magnoliopsida	Plantae
3151558	Symphyotrichum novi-belgii	6	220	Magnoliopsida	Plantae
2965531	Medicago polymorpha	6	220	Magnoliopsida	Plantae
8246651	Adonis flammea	6	220	Magnoliopsida	Plantae
8427624	Oxalis corniculata	6	220	Magnoliopsida	Plantae
5670646	Urtica pilulifera	6	220	Magnoliopsida	Plantae
2890122	Geranium pyrenaicum	6	220	Magnoliopsida	Plantae
9419993	Erodium moschatum	6	220	Magnoliopsida	Plantae
2722051	Carex pendula	6	196	Liliopsida	Plantae
5358266	Ornithopus sativus	6	220	Magnoliopsida	Plantae
2890287	Geranium nodosum	6	220	Magnoliopsida	Plantae
5530881	Corydalis cava	6	220	Magnoliopsida	Plantae
5353705	Hippocrepis emerus	6	220	Magnoliopsida	Plantae
8911082	Amaranthus blitum	6	220	Magnoliopsida	Plantae
5341501	Melissa officinalis	6	220	Magnoliopsida	Plantae
1314773	Monomorium pharaonis	1	216	Insecta	Animalia
5289906	Rostraria cristata	6	196	Liliopsida	Plantae
3114229	Rudbeckia laciniata	6	220	Magnoliopsida	Plantae
2888740	Centranthus ruber	6	220	Magnoliopsida	Plantae
7313595	Asarum europaeum	6	220	Magnoliopsida	Plantae
9752149	Phasianus colchicus	1	212	Aves	Animalia
2469188	Podarcis muralis	1	358	Reptilia	Animalia
2702808	Echinochloa crus-galli	6	196	Liliopsida	Plantae
4129708	Lolium multiflorum	6	196	Liliopsida	Plantae
3146791	Erigeron canadensis	6	220	Magnoliopsida	Plantae
5289590	Vulpia myuros	6	196	Liliopsida	Plantae
5289684	Setaria viridis	6	196	Liliopsida	Plantae
5289756	Phalaris arundinacea	6	196	Liliopsida	Plantae
5376816	Lepidium perfoliatum	6	220	Magnoliopsida	Plantae
2706056	Hordeum vulgare	6	196	Liliopsida	Plantae
2705295	Avena strigosa	6	196	Liliopsida	Plantae
3003709	Rosa glauca	6	220	Magnoliopsida	Plantae
2705966	Secale cereale	6	196	Liliopsida	Plantae
3034653	Chaerophyllum bulbosum	6	220	Magnoliopsida	Plantae
2889229	Persicaria orientalis	6	220	Magnoliopsida	Plantae
5376846	Lepidium heterophyllum	6	220	Magnoliopsida	Plantae
5334430	Polygonum bellardii	6	220	Magnoliopsida	Plantae
2495414	Columba livia	1	212	Aves	Animalia
3066179	Euphorbia seguieriana	6	220	Magnoliopsida	Plantae
3042636	Brassica napus	6	220	Magnoliopsida	Plantae
5392243	Cichorium endivia	6	220	Magnoliopsida	Plantae
3152377	Malva verticillata	6	220	Magnoliopsida	Plantae
5371702	Nigella damascena	6	220	Magnoliopsida	Plantae
5350452	Phaseolus vulgaris	6	220	Magnoliopsida	Plantae
3110905	Scorzonera hispanica	6	220	Magnoliopsida	Plantae
3042845	Brassica oleracea	6	220	Magnoliopsida	Plantae
5389029	Solidago canadensis	6	220	Magnoliopsida	Plantae
2705162	Panicum capillare	6	196	Liliopsida	Plantae
2705144	Panicum dichotomiflorum	6	196	Liliopsida	Plantae
3189762	Plantago arenaria	6	220	Magnoliopsida	Plantae
5607452	Thymus citriodorus	6	220	Magnoliopsida	Plantae
2473421	Lagopus lagopus	1	212	Aves	Animalia
2876049	Corylus maxima	6	220	Magnoliopsida	Plantae
7339396	Saxifraga rotundifolia	6	220	Magnoliopsida	Plantae
4201607	Phedimus spurius	6	220	Magnoliopsida	Plantae
3169708	Vinca major	6	220	Magnoliopsida	Plantae
3132570	Galinsoga parviflora	6	220	Magnoliopsida	Plantae
2974793	Vicia sylvatica	6	220	Magnoliopsida	Plantae
5298765	Iris foetidissima	6	196	Liliopsida	Plantae
3083903	Chenopodium opulifolium	6	220	Magnoliopsida	Plantae
3027159	Spiraea douglasii	6	220	Magnoliopsida	Plantae
2703733	Bromus lanceolatus	6	196	Liliopsida	Plantae
2498107	Anas formosa	1	212	Aves	Animalia
5365888	Potentilla inclinata	6	220	Magnoliopsida	Plantae
3085438	Cerastium tomentosum	6	220	Magnoliopsida	Plantae
3042416	Camelina microcarpa	6	220	Magnoliopsida	Plantae
5289917	Polypogon monspeliensis	6	196	Liliopsida	Plantae
5341198	Anchusa azurea	6	220	Magnoliopsida	Plantae
2965232	Medicago carstiensis	6	220	Magnoliopsida	Plantae
2474051	Alectoris rufa	1	212	Aves	Animalia
5289744	Phalaris canariensis	6	196	Liliopsida	Plantae
5384396	Amaranthus deflexus	6	220	Magnoliopsida	Plantae
2436940	Oryctolagus cuniculus	1	359	Mammalia	Animalia
2498252	Alopochen aegyptiaca	1	212	Aves	Animalia
5232437	Branta canadensis	1	212	Aves	Animalia
3034681	Myrrhis odorata	6	220	Magnoliopsida	Plantae
5373368	Rapistrum rugosum	6	220	Magnoliopsida	Plantae
2227000	Orconectes limosus	1	229	Malacostraca	Animalia
5289972	Digitaria sanguinalis	6	196	Liliopsida	Plantae
4125308	Panicum schinzii	6	196	Liliopsida	Plantae
2855356	Galanthus nivalis	6	196	Liliopsida	Plantae
3188894	Oenothera glazioviana	6	220	Magnoliopsida	Plantae
2226990	Pacifastacus leniusculus	1	229	Malacostraca	Animalia
3046851	Sisymbrium irio	6	220	Magnoliopsida	Plantae
4989904	Harmonia axyridis	1	216	Insecta	Animalia
8946295	Pontastacus leptodactylus	1	229	Malacostraca	Animalia
5232452	Branta hutchinsii	1	212	Aves	Animalia
1326634	Hypoponera punctatissima	1	216	Insecta	Animalia
3047811	Myagrum perfoliatum	6	220	Magnoliopsida	Plantae
3083934	Chenopodium hircinum	6	220	Magnoliopsida	Plantae
3034558	Bupleurum subovatum	6	220	Magnoliopsida	Plantae
3083702	Atriplex tatarica	6	220	Magnoliopsida	Plantae
2965438	Medicago rigidula	6	220	Magnoliopsida	Plantae
5384773	Silene pendula	6	220	Magnoliopsida	Plantae
7678610	Raphanus sativus	6	220	Magnoliopsida	Plantae
5371870	Bifora radians	6	220	Magnoliopsida	Plantae
5384818	Silene dichotoma	6	220	Magnoliopsida	Plantae
2889038	Rumex dentatus	6	220	Magnoliopsida	Plantae
3048166	Erysimum repandum	6	220	Magnoliopsida	Plantae
2926686	Sideritis lanata	6	220	Magnoliopsida	Plantae
5384459	Gypsophila pilosa	6	220	Magnoliopsida	Plantae
5399550	Rhagadiolus stellatus	6	220	Magnoliopsida	Plantae
