taxonKey	year	obs	native_obs	ncells	native_ncells	canonicalName	fit	ucl	lcl	em1	em2	em	em_status	growth	method
1718308	1955	2	31	2	25	Acheta domesticus	2.447076406237316	9.060059504128692	0.6609430032147701	-1	1	-2	0	0.683727299717384	correct_baseline
1718308	1956	0	36	0	24	Acheta domesticus	1.974544377548725	6.271304929616195	0.6216928602047566	-1	1	-2	0	0.7097656611351627	correct_baseline
1718308	1957	0	18	0	15	Acheta domesticus	1.6316339885087832	4.5990926231589375	0.5788597209482809	-1	1	-2	0	0.7366842496480661	correct_baseline
1718308	1958	2	21	2	15	Acheta domesticus	1.3807291073062493	3.5717070361057877	0.5337539861167515	-1	1	-2	0	0.7644411746374865	correct_baseline
1718308	1959	0	28	0	23	Acheta domesticus	1.1964780754806483	2.9290708821052918	0.48874193992769865	-1	1	-2	0	0.7929398454035999	correct_baseline
1718308	1960	3	34	3	22	Acheta domesticus	1.0616229656695133	2.5228090090936623	0.44674143669790967	-1	1	-2	0	0.8220110580304051	correct_baseline
1718308	1961	1	46	1	31	Acheta domesticus	0.964344771665992	2.2659794726409515	0.41040126350115796	-1	1	-2	0	0.8513946124980112	correct_baseline
1718308	1962	3	43	3	35	Acheta domesticus	0.8965548751570318	2.1069168589828187	0.3815103765204604	0	1	1	2	0.8807200009109832	correct_baseline
1718308	1963	0	34	0	29	Acheta domesticus	0.852786335395977	2.014913046863813	0.36093097663447404	0	1	1	2	0.9094891889786905	correct_baseline
1718308	1964	0	60	0	41	Acheta domesticus	0.8294717750436286	1.9719907763426499	0.34889789234717916	0	1	1	2	0.9370767358916158	correct_baseline
1718308	1965	1	51	1	34	Acheta domesticus	0.824475036615181	1.9680741555472359	0.3453930249963536	0	1	1	2	0.962789300730424	correct_baseline
1718308	1966	0	58	0	38	Acheta domesticus	0.8367927885901698	1.9981668006282916	0.3504322916466929	0	1	1	2	0.9860412170947407	correct_baseline
1718308	1967	0	39	0	28	Acheta domesticus	0.8663723085518935	2.0607355410638113	0.36423935146867775	1	1	4	3	1.0066042852757169	correct_baseline
1718308	1968	1	69	1	41	Acheta domesticus	0.9140100207154036	2.1568134795016585	0.38733730380857906	1	1	4	3	1.0247000007842124	correct_baseline
1718308	1969	0	95	0	65	Acheta domesticus	0.9813062581426591	2.2895251249554742	0.4205946297657137	1	1	4	3	1.0408015598515483	correct_baseline
1718308	1970	0	113	0	65	Acheta domesticus	1.0706576288924992	2.4638468231487947	0.46525122728235513	1	1	4	3	1.0553601841225846	correct_baseline
1718308	1971	2	107	2	76	Acheta domesticus	1.1852707362592767	2.6864746013839165	0.5229406291460569	1	1	4	3	1.068668675750333	correct_baseline
1718308	1972	0	53	0	47	Acheta domesticus	1.3291807225133856	2.965698872226665	0.595718402042194	1	1	4	3	1.0808504729107065	correct_baseline
1718308	1973	0	99	0	59	Acheta domesticus	1.5072558280224977	3.3111971069359343	0.6861023544472857	1	1	4	3	1.0918936594908566	correct_baseline
1718308	1974	0	102	0	61	Acheta domesticus	1.7251655677279754	3.733664727269201	0.7971246626236241	1	1	4	3	1.101687407993665	correct_baseline
1718308	1975	0	54	0	39	Acheta domesticus	1.9892861609523276	4.244221752720573	0.9323875284367084	1	1	4	3	1.1100510129184562	correct_baseline
1718308	1976	0	47	0	42	Acheta domesticus	2.306513868200476	4.853565435465545	1.0961027094282572	1	0	3	3	1.1167577226907774	correct_baseline
1718308	1977	0	78	0	53	Acheta domesticus	2.6839567441743166	5.570889441684268	1.2930832464018347	1	0	3	3	1.1215587125455924	correct_baseline
1718308	1978	1	47	1	32	Acheta domesticus	3.1284802477809146	6.402653695448126	1.5286456407463571	1	0	3	3	1.1242132958143538	correct_baseline
1718308	1979	7	66	7	47	Acheta domesticus	3.6460944009167235	7.351353522227322	1.8083750618441827	1	0	3	3	1.1245301347540841	correct_baseline
1718308	1980	6	206	6	52	Acheta domesticus	4.241191314045314	8.414482249234185	2.137707731687296	1	0	3	3	1.1224176352940645	correct_baseline
1718308	1981	5	96	5	47	Acheta domesticus	4.915671818667659	9.583884123400814	2.5212981623852255	1	0	3	3	1.1179289180034584	correct_baseline
1718308	1982	0	70	0	44	Acheta domesticus	5.668035973329488	10.845635657319551	2.9621714033216104	1	-1	2	2	1.1112774441507662	correct_baseline
1718308	1983	1	90	1	60	Acheta domesticus	6.492548434025507	12.180472196977133	3.4607184751530693	1	-1	2	2	1.102809353977434	correct_baseline
1718308	1984	10	331	10	87	Acheta domesticus	7.3786172454910455	13.56461926915117	4.013676416209859	1	-1	2	2	1.0929444237139951	correct_baseline
1718308	1985	14	128	14	68	Acheta domesticus	8.310533235462302	14.970751153652426	4.613326475664093	1	-1	2	2	1.0821130099852017	correct_baseline
1718308	1986	12	158	12	105	Acheta domesticus	9.267697965605826	16.368755580394904	5.2472055777145545	1	-1	2	2	1.0707088683298258	correct_baseline
1718308	1987	10	138	10	80	Acheta domesticus	10.225417039881616	17.726095913335076	5.898600241739808	1	-1	2	2	1.059061825396714	correct_baseline
1718308	1988	7	217	7	122	Acheta domesticus	11.156256251539205	19.00783907931982	6.547932830798217	1	-1	2	2	1.0474251104847068	correct_baseline
1718308	1989	11	333	11	131	Acheta domesticus	12.031863227242221	20.17677147862916	7.174871008099419	1	-1	2	2	1.0359711708987538	correct_baseline
1718308	1990	13	424	13	171	Acheta domesticus	12.825066604838634	21.19427206040679	7.760697463434854	1	-1	2	2	1.0247926243029086	correct_baseline
1718308	1991	9	1198	9	340	Acheta domesticus	13.512000289019795	22.02255301067301	8.290326363250813	1	-1	2	2	1.0139088746678704	correct_baseline
1718308	1992	4	2467	4	383	Acheta domesticus	14.073979655628973	22.62844688468251	8.753446684011664	1	-1	2	2	1.0032828145962855	correct_baseline
1718308	1993	1	1613	1	336	Acheta domesticus	14.498887317609867	22.988273928989113	9.144563619613715	0	-1	-1	0	0.9928536504530949	correct_baseline
1718308	1994	7	1381	7	296	Acheta domesticus	14.78190279759515	23.092782610472238	9.462032099088079	0	-1	-1	0	0.9825855993350707	correct_baseline
1718308	1995	47	1851	43	377	Acheta domesticus	14.925516003945217	22.950998267134345	9.706376402068367	0	-1	-1	0	0.9725154633133181	correct_baseline
1718308	1996	10	961	10	250	Acheta domesticus	14.938874969354355	22.592108615703644	9.878227355674003	0	-1	-1	0	0.9627699601669438	correct_baseline
1718308	1997	18	1270	16	212	Acheta domesticus	14.836610452908083	22.065089071431142	9.976166831628571	0	-1	-1	0	0.9535390351735111	correct_baseline
1718308	1998	3	1453	3	182	Acheta domesticus	14.637337033234845	21.436292925924317	9.99480815852258	0	0	0	1	0.945023133570114	correct_baseline
1718308	1999	15	1385	15	223	Acheta domesticus	14.362045874414251	20.785337127355525	9.92374386015179	0	0	0	1	0.9373837637185076	correct_baseline
