scientificName,n_prot_areas,mean_coverage,speciesKey,kingdom,phylum,order,class,genus,family,species,rank,includes
"Anser anser (Linnaeus, 1758)",24,0.422758520081941,2498036,Animalia,Chordata,Anseriformes,Aves,Anser,Anatidae,Anser anser,SPECIES,"2498036: Anser anser (Linnaeus, 1758) | 6178331: Anser anser rubrirostris Swinhoe, 1871 | 7061271: Anser anser anser | 9384117: Anser anser f. domesticus"
"Alopochen aegyptiaca (Linnaeus, 1766)",24,0.3135578706133425,2498252,Animalia,Chordata,Anseriformes,Aves,Alopochen,Anatidae,Alopochen aegyptiaca,SPECIES,"2498252: Alopochen aegyptiaca (Linnaeus, 1766)"
"Branta canadensis (Linnaeus, 1758)",24,0.30007781246968207,5232437,Animalia,Chordata,Anseriformes,Aves,Branta,Anatidae,Branta canadensis,SPECIES,"5232437: Branta canadensis (Linnaeus, 1758) | 5232443: Branta canadensis parvipes (Cassin, 1852) | 7191098: Branta canadensis canadensis"
"Phasianus colchicus Linnaeus, 1758",24,0.2430185505178782,9752149,Animalia,Chordata,Galliformes,Aves,Phasianus,Phasianidae,Phasianus colchicus,SPECIES,"5227796: Phasianus colchicus torquatus Gmelin, 1789 | 9208710: Phasianus colchicus colchicus | 9752149: Phasianus colchicus Linnaeus, 1758"
"Branta leucopsis (Bechstein, 1803)",24,0.19621936127451892,5232464,Animalia,Chordata,Anseriformes,Aves,Branta,Anatidae,Branta leucopsis,SPECIES,"5232464: Branta leucopsis (Bechstein, 1803)"
"Oryctolagus cuniculus (Linnaeus, 1758)",24,0.14346164684294016,2436940,Animalia,Chordata,Lagomorpha,Mammalia,Oryctolagus,Leporidae,Oryctolagus cuniculus,SPECIES,"2436940: Oryctolagus cuniculus (Linnaeus, 1758)"
"Branta hutchinsii (Richardson, 1832)",24,0.08917157055125864,5232452,Animalia,Chordata,Anseriformes,Aves,Branta,Anatidae,Branta hutchinsii,SPECIES,"5232452: Branta hutchinsii (Richardson, 1832) | 5232453: Branta hutchinsii minima Ridgway, 1885 | 5232460: Branta hutchinsii taverneri Delacour, 1951 | 5232463: Branta canadensis hutchinsi (Richardson, 1832) | 7191099: Branta hutchinsii hutchinsii"
Senecio inaequidens DC.,24,0.08649663958396017,3109086,Plantae,Tracheophyta,Asterales,Magnoliopsida,Senecio,Asteraceae,Senecio inaequidens,SPECIES,3109086: Senecio inaequidens DC.
"Harmonia axyridis (Pallas, 1773)",24,0.08051743649712087,4989904,Animalia,Arthropoda,Coleoptera,Insecta,Harmonia,Coccinellidae,Harmonia axyridis,SPECIES,"4989904: Harmonia axyridis (Pallas, 1773) | 9986462: BOLD:AAB5640 | 10120173: Harmonia axyridis f. conspicua | 10364473: Harmonia axyridis f. spectabilis"
"Cygnus atratus (Latham, 1790)",24,0.07761523662261303,2498344,Animalia,Chordata,Anseriformes,Aves,Cygnus,Anatidae,Cygnus atratus,SPECIES,"2498344: Cygnus atratus (Latham, 1790)"
