SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE2223316,De Demervallei,A,23,7496,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,22,4221,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,21,10946,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,18,4121,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,17,5802,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,17,1845,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,16,4612,TRUE,FALSE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,16,590,FALSE,TRUE,FALSE
BE2422315,De Dijlevallei,A,15,3591,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,15,2026,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,15,922,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,15,688,TRUE,FALSE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,14,2117,FALSE,TRUE,FALSE
BE2500121,Westkust,A,14,538,TRUE,FALSE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,14,537,FALSE,TRUE,FALSE
BE2200626,De Maten,A,13,1055,TRUE,FALSE,FALSE
BE34050C0,Bassin de la Semois entre Tintigny et Jamoigne,C,13,856,FALSE,TRUE,FALSE
BE2100323,Kalmthoutse Heide,A,13,809,TRUE,FALSE,FALSE
BE35030C0,La Calestienne entre Frasnes et Doische,C,13,175,FALSE,TRUE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,12,5117,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,12,911,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,12,394,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,12,118,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,11,642,TRUE,FALSE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,11,191,FALSE,TRUE,FALSE
BE34003C0,Vallée de l'Ourthe entre Hotton et Barvaux-sur-Ourthe,C,11,185,FALSE,TRUE,FALSE
BE33016C0,Basse vallée de la Vesdre,C,11,162,FALSE,TRUE,FALSE
BE33009C0,Vallée de la Mehaigne,C,11,137,FALSE,TRUE,FALSE
BE31006C0,Vallée de la Dyle à Ottignies,C,11,121,FALSE,TRUE,FALSE
BE32044C0,Bassin de l'Escaut en amont de Tournai,C,11,97,FALSE,TRUE,FALSE
BE31004C0,Vallée de la Dyle en aval d'Archennes,C,10,1636,FALSE,TRUE,FALSE
BE34056C0,Bassin de la Semois de Etalle à Tintigny,C,10,493,FALSE,TRUE,FALSE
BE34046C0,Bassin de la Semois de Florenville à Auby,C,10,346,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,10,149,FALSE,TRUE,FALSE
BE32021C0,Haute-Sambre en aval de Thuin,C,10,138,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,10,137,FALSE,TRUE,FALSE
BE35045C0,Vallée de la Semois en aval d'Alle,C,10,114,FALSE,TRUE,FALSE
BE34042C0,Bassin de la Semois de Bouillon à Alle,C,10,110,FALSE,TRUE,FALSE
BE33003C0,Montagne Saint-Pierre,C,10,108,FALSE,TRUE,FALSE
BE34004C0,Massifs forestiers famenniens entre Hotton et Barvaux-sur-Ourthe,C,10,67,FALSE,TRUE,FALSE
BE35026C0,Massif forestier de Cerfontaine,C,10,30,FALSE,TRUE,FALSE
BE31010C0,Sources de la Dyle,C,9,493,FALSE,TRUE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,9,385,TRUE,FALSE,FALSE
BE32036C0,Vallée de l'Eau Blanche à Virelles,C,9,357,FALSE,TRUE,FALSE
BE35003C0,Vallée de la Sambre en aval de la confluence avec l'Orneau,C,9,313,FALSE,TRUE,FALSE
BE32012C0,Bord nord du bassin de la Haine,C,9,284,FALSE,TRUE,FALSE
BE35010C0,Vallée du Bocq,C,9,220,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,9,198,FALSE,TRUE,FALSE
BE35012C0,Vallée de la Meuse de Dinant à Yvoir,C,9,188,FALSE,TRUE,FALSE
BE34048C0,Bassin de la Semois de Jamoigne à Chiny,C,9,180,FALSE,TRUE,FALSE
BE34031C0,Bassin moyen de l'Ourthe occidentale,C,9,161,FALSE,TRUE,FALSE
BE35020C0,Vallée de la Meuse d'Hastière à Dinant,C,9,144,FALSE,TRUE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,9,138,FALSE,TRUE,FALSE
BE32002C0,Vallée de l'Escaut en aval de Tournai,C,9,112,FALSE,TRUE,FALSE
BE35005C0,Bassin du Samson,C,9,103,FALSE,TRUE,FALSE
BE34007C0,Basse vallée de l'Aisne,C,9,58,FALSE,TRUE,FALSE
BE33021C0,Osthertogenwald autour de Raeren,C,9,42,FALSE,TRUE,FALSE
