SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,24,229,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,22,175,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,22,128,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,21,167,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,21,144,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,21,138,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,20,174,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,19,177,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,19,166,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,18,121,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,18,87,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,17,121,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,17,117,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,17,98,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,17,74,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,16,126,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,16,120,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,16,101,TRUE,FALSE,FALSE
BE2500002,Polders,B,16,97,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,16,94,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,16,73,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,15,98,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,15,92,TRUE,FALSE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,15,61,FALSE,TRUE,FALSE
BE2422315,De Dijlevallei,A,14,105,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,14,92,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,14,86,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,14,84,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,14,79,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,14,70,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,14,66,TRUE,FALSE,FALSE
BE2500121,Westkust,A,13,104,TRUE,FALSE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,13,75,FALSE,TRUE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,13,69,FALSE,TRUE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,13,54,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,13,54,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,12,77,TRUE,FALSE,FALSE
BE35030C0,La Calestienne entre Frasnes et Doische,C,12,60,FALSE,TRUE,FALSE
BE2100323,Kalmthoutse Heide,A,12,52,TRUE,FALSE,FALSE
BE34050C0,Bassin de la Semois entre Tintigny et Jamoigne,C,12,52,FALSE,TRUE,FALSE
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",B,12,51,TRUE,FALSE,FALSE
BE2200028,De Maten,B,12,51,TRUE,FALSE,FALSE
BE2200626,De Maten,A,12,51,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,11,80,TRUE,FALSE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,11,75,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,11,72,TRUE,FALSE,FALSE
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,B,11,69,FALSE,FALSE,TRUE
BE2300222,Kuifeend en Blokkersdijk,A,11,58,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,11,50,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,11,48,TRUE,FALSE,FALSE
BE2200041,Jekervallei en bovenloop van de Demervallei,B,11,47,TRUE,FALSE,FALSE
BE2100015,Kalmthoutse Heide,B,11,46,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,11,41,TRUE,FALSE,FALSE
BE34046C0,Bassin de la Semois de Florenville à Auby,C,10,69,FALSE,TRUE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,10,63,TRUE,FALSE,FALSE
BE33016C0,Basse vallée de la Vesdre,C,10,53,FALSE,TRUE,FALSE
BE35045C0,Vallée de la Semois en aval d'Alle,C,10,53,FALSE,TRUE,FALSE
BE34003C0,Vallée de l'Ourthe entre Hotton et Barvaux-sur-Ourthe,C,10,52,FALSE,TRUE,FALSE
BE34056C0,Bassin de la Semois de Etalle à Tintigny,C,10,50,FALSE,TRUE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,10,41,FALSE,TRUE,FALSE
BE34042C0,Bassin de la Semois de Bouillon à Alle,C,10,40,FALSE,TRUE,FALSE
BE34004C0,Massifs forestiers famenniens entre Hotton et Barvaux-sur-Ourthe,C,10,36,FALSE,TRUE,FALSE
BE31006C0,Vallée de la Dyle à Ottignies,C,10,35,FALSE,TRUE,FALSE
BE32044C0,Bassin de l'Escaut en amont de Tournai,C,10,34,FALSE,TRUE,FALSE
BE33009C0,Vallée de la Mehaigne,C,10,31,FALSE,TRUE,FALSE
BE35026C0,Massif forestier de Cerfontaine,C,10,20,FALSE,TRUE,FALSE
BE31004C0,Vallée de la Dyle en aval d'Archennes,C,9,61,FALSE,TRUE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,9,49,TRUE,FALSE,FALSE
BE34031C0,Bassin moyen de l'Ourthe occidentale,C,9,46,FALSE,TRUE,FALSE
BE34048C0,Bassin de la Semois de Jamoigne à Chiny,C,9,46,FALSE,TRUE,FALSE
BE2500003,Westvlaams Heuvelland,B,9,44,TRUE,FALSE,FALSE
BE32036C0,Vallée de l'Eau Blanche à Virelles,C,9,42,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,9,41,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,9,38,FALSE,TRUE,FALSE
BE33003C0,Montagne Saint-Pierre,C,9,38,FALSE,TRUE,FALSE
BE35010C0,Vallée du Bocq,C,9,38,FALSE,TRUE,FALSE
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,B,9,37,TRUE,FALSE,FALSE
BE35005C0,Bassin du Samson,C,9,37,FALSE,TRUE,FALSE
BE34007C0,Basse vallée de l'Aisne,C,9,33,FALSE,TRUE,FALSE
BE32002C0,Vallée de l'Escaut en aval de Tournai,C,9,32,FALSE,TRUE,FALSE
BE32021C0,Haute-Sambre en aval de Thuin,C,9,29,FALSE,TRUE,FALSE
BE34044C0,Vallée du Ruisseau des Aleines,C,9,21,FALSE,TRUE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,8,62,TRUE,FALSE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,8,49,FALSE,TRUE,FALSE
BE34012C0,Vallée de l'Ourthe entre La Roche et Hotton,C,8,47,FALSE,TRUE,FALSE
BE31010C0,Sources de la Dyle,C,8,44,FALSE,TRUE,FALSE
BE34033C0,Etangs de Longchamps et de Noville,C,8,44,FALSE,TRUE,FALSE
BE32012C0,Bord nord du bassin de la Haine,C,8,40,FALSE,TRUE,FALSE
BE35020C0,Vallée de la Meuse d'Hastière à Dinant,C,8,37,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,8,36,FALSE,TRUE,FALSE
BE35023C0,Vallée de la Lesse entre Villers-sur-Lesse et Houyet,C,8,35,FALSE,TRUE,FALSE
BEMNZ0001,Vlaamse Banken,B,8,35,FALSE,FALSE,FALSE
BE32019C0,Vallée de la Trouille,C,8,33,FALSE,TRUE,FALSE
BE34049C0,Basse-Vierre,C,8,33,FALSE,TRUE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,8,32,TRUE,FALSE,FALSE
BE33028C0,Vallée de l'Amblève du Pont de Targnon à Remouchamps,C,8,30,FALSE,TRUE,FALSE
BE35003C0,Vallée de la Sambre en aval de la confluence avec l'Orneau,C,8,29,FALSE,TRUE,FALSE
BE35012C0,Vallée de la Meuse de Dinant à Yvoir,C,8,28,FALSE,TRUE,FALSE
BE31011C0,Vallée de la Thyle,C,8,26,FALSE,TRUE,FALSE
BE35039C0,Vallée de la Houille en aval de Gedinne,C,8,26,FALSE,TRUE,FALSE
BE33011C0,Vallées du Hoyoux et du Triffoy,C,8,25,FALSE,TRUE,FALSE
BE32025C0,Haut-Pays des Honnelles,C,8,22,FALSE,TRUE,FALSE
BE33021C0,Osthertogenwald autour de Raeren,C,8,20,FALSE,TRUE,FALSE
BE33043C0,Vallée de la Warche entre Butgenbach et Robertville,C,8,20,FALSE,TRUE,FALSE
BE34024C0,Bassin inférieur de l'Ourthe orientale,C,7,63,FALSE,TRUE,FALSE
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",B,7,50,TRUE,FALSE,FALSE
BE34023C0,Vallée de l'Ourthe entre Nisramont et La Roche,C,7,44,FALSE,TRUE,FALSE
BE34043C0,Bassin de la Semois du Maka à Bouillon,C,7,44,FALSE,TRUE,FALSE
BE34052C0,Forêt d'Anlier,C,7,35,FALSE,TRUE,FALSE
BE32001C0,Vallée de la Lys,C,7,34,FALSE,TRUE,FALSE
BE33006C0,Vallée de la Gueule en aval de Kelmis,C,7,34,FALSE,TRUE,FALSE
BE33010C0,Vallée de la Meuse à Huy et vallon de la Solières,C,7,34,FALSE,TRUE,FALSE
BE34066C0,Vallée du Ton et Côte bajocienne de Montquintin à Ruette,C,7,34,FALSE,TRUE,FALSE
BE2501033,Het Zwin,A,7,32,TRUE,FALSE,FALSE
BE32003C0,Pays des Collines,C,7,32,FALSE,TRUE,FALSE
BE32026C0,Haute-Sambre en amont de Thuin,C,7,32,FALSE,TRUE,FALSE
BE34008C0,Camp militaire de Marche-en-Famenne,C,7,32,FALSE,TRUE,FALSE
BE34038C0,Bassin supérieur de l'Ourthe occidentale,C,7,30,FALSE,TRUE,FALSE
BE33036C0,Fagnes de la Roer,C,7,29,FALSE,TRUE,FALSE
BE34064C0,Vallées de la Vire et du Ton,C,7,29,FALSE,TRUE,FALSE
BE33026C0,Vallée de l'Ourthe entre Hamoir et Comblain-au-Pont,C,7,28,FALSE,TRUE,FALSE
BE35019C0,Vallée de la Meuse en amont d'Hastière,C,7,28,FALSE,TRUE,FALSE
BE35029C0,Bassin fagnard de l'Hermeton,C,7,27,FALSE,TRUE,FALSE
BE34029C0,Haute-Wamme et Masblette,C,7,24,FALSE,TRUE,FALSE
