SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,24,229,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,22,175,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,22,128,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,21,167,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,21,144,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,21,138,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,20,174,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,19,177,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,19,166,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,18,121,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,18,87,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,17,121,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,17,117,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,17,98,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,17,74,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,16,126,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,16,120,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,16,101,TRUE,FALSE,FALSE
BE2500002,Polders,B,16,97,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,16,94,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,16,73,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,15,98,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,15,92,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,14,105,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,14,92,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,14,86,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,14,84,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,14,79,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,14,70,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,14,66,TRUE,FALSE,FALSE
BE2500121,Westkust,A,13,104,TRUE,FALSE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,13,54,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,13,54,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,12,77,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,12,52,TRUE,FALSE,FALSE
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",B,12,51,TRUE,FALSE,FALSE
BE2200028,De Maten,B,12,51,TRUE,FALSE,FALSE
BE2200626,De Maten,A,12,51,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,11,80,TRUE,FALSE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,11,75,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,11,72,TRUE,FALSE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,11,58,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,11,50,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,11,48,TRUE,FALSE,FALSE
BE2200041,Jekervallei en bovenloop van de Demervallei,B,11,47,TRUE,FALSE,FALSE
BE2100015,Kalmthoutse Heide,B,11,46,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,11,41,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,10,63,TRUE,FALSE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,9,49,TRUE,FALSE,FALSE
BE2500003,Westvlaams Heuvelland,B,9,44,TRUE,FALSE,FALSE
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,B,9,37,TRUE,FALSE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,8,62,TRUE,FALSE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,8,32,TRUE,FALSE,FALSE
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",B,7,50,TRUE,FALSE,FALSE
BE2501033,Het Zwin,A,7,32,TRUE,FALSE,FALSE
BE2400008,Zoniënwoud,B,6,56,TRUE,FALSE,FALSE
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,B,6,51,TRUE,FALSE,FALSE
BE2200039,Voerstreek,B,6,43,TRUE,FALSE,FALSE
BE2301134,Krekengebied,A,6,40,TRUE,FALSE,FALSE
BE2220313,"Houthalen-Helchteren, Meeuwen-Gruitrode en Peer",A,5,27,TRUE,FALSE,FALSE
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,B,4,24,TRUE,FALSE,FALSE
BE2524317,Kustbroedvogels te Zeebrugge-Heist,A,2,18,TRUE,FALSE,FALSE
