SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,852,93890,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,641,30187,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,484,28117,TRUE,FALSE,FALSE
BE2500002,Polders,B,446,24087,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,419,16520,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,414,13647,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,411,25899,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,399,10243,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,388,23846,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,387,8165,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,378,10016,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,374,8923,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,360,14005,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,350,19611,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,347,8420,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,334,14928,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,297,12456,TRUE,FALSE,FALSE
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,B,274,15112,FALSE,FALSE,TRUE
BE35030C0,La Calestienne entre Frasnes et Doische,C,265,3025,FALSE,TRUE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,264,8153,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,258,4965,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,257,9862,TRUE,FALSE,FALSE
BEMNZ0001,Vlaamse Banken,B,256,3496,FALSE,FALSE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,254,4560,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,238,3597,TRUE,FALSE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,226,8153,FALSE,TRUE,FALSE
BE2500003,Westvlaams Heuvelland,B,224,3112,TRUE,FALSE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,219,4024,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,213,2951,TRUE,FALSE,FALSE
BE32012C0,Bord nord du bassin de la Haine,C,202,1788,FALSE,TRUE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,199,5460,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,198,2336,TRUE,FALSE,FALSE
BE1000003,Zones boisées et zones humides de la Vallée du Molenbeek dans le Nord-Ouest de la Région bruxelloise,B,194,6893,FALSE,FALSE,TRUE
BE2400008,Zoniënwoud,B,192,4639,TRUE,FALSE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,192,2687,FALSE,TRUE,FALSE
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",B,190,3239,TRUE,FALSE,FALSE
BE2100015,Kalmthoutse Heide,B,186,5581,TRUE,FALSE,FALSE
BE33003C0,Montagne Saint-Pierre,C,186,1203,FALSE,TRUE,FALSE
BE2200039,Voerstreek,B,185,1579,TRUE,FALSE,FALSE
BE32019C0,Vallée de la Trouille,C,183,1159,FALSE,TRUE,FALSE
BE2200028,De Maten,B,182,3187,TRUE,FALSE,FALSE
BE35009C0,Vallée de la Meuse d'Yvoir à Dave,C,177,1754,FALSE,TRUE,FALSE
BE35012C0,Vallée de la Meuse de Dinant à Yvoir,C,175,1355,FALSE,TRUE,FALSE
BE2200041,Jekervallei en bovenloop van de Demervallei,B,174,1968,TRUE,FALSE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,171,1897,TRUE,FALSE,FALSE
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,B,169,972,TRUE,FALSE,FALSE
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,B,167,2558,TRUE,FALSE,FALSE
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,B,163,1455,TRUE,FALSE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,160,2249,FALSE,TRUE,FALSE
BE35010C0,Vallée du Bocq,C,160,1039,FALSE,TRUE,FALSE
BE1000002,Zones boisées et ouvertes au Sud de la Région bruxelloise - complexe Verrewinkel - Kinsendael,B,160,850,FALSE,FALSE,TRUE
BE33010C0,Vallée de la Meuse à Huy et vallon de la Solières,C,159,1389,FALSE,TRUE,FALSE
BE34057C0,Marais de la Haute-Semois et Bois de Heinsch,C,157,822,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,148,1657,FALSE,TRUE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,145,1272,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,144,979,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,141,658,FALSE,TRUE,FALSE
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",B,140,2020,TRUE,FALSE,FALSE
BE35020C0,Vallée de la Meuse d'Hastière à Dinant,C,134,926,FALSE,TRUE,FALSE
BE31011C0,Vallée de la Thyle,C,134,916,FALSE,TRUE,FALSE
BE32003C0,Pays des Collines,C,132,811,FALSE,TRUE,FALSE
BE34066C0,Vallée du Ton et Côte bajocienne de Montquintin à Ruette,C,129,1153,FALSE,TRUE,FALSE
BE35006C0,Vallée de la Meuse de Marche-les-Dames à Andenne,C,129,849,FALSE,TRUE,FALSE
BE32007C0,Bois de la Houssière,C,125,473,FALSE,TRUE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,123,978,FALSE,TRUE,FALSE
BE32021C0,Haute-Sambre en aval de Thuin,C,120,661,FALSE,TRUE,FALSE
BE31001C0,Affluents brabançons de la Senne,C,119,1049,FALSE,TRUE,FALSE
BE35029C0,Bassin fagnard de l'Hermeton,C,119,703,FALSE,TRUE,FALSE
BE33002B0,Basse vallée du Geer,B,118,504,FALSE,TRUE,FALSE
