taxonKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
1001548,"Lepadella deridderae Segers, De Smet & Bonte, 1996",Animalia,Rotifera,Ploima,Eurotatoria,Lepadella,Lepadellidae,Lepadella deridderae,SPECIES,6155426: Lepadella deridderae deridderae
1001728,"Paradicranophorus sinus De Smet, 2003",Animalia,Rotifera,Ploima,Eurotatoria,Paradicranophorus,Dicranophoridae,Paradicranophorus sinus,SPECIES,"1001728: Paradicranophorus sinus De Smet, 2003"
1001810,"Encentrum tenuidigitatum De Smet, 2000",Animalia,Rotifera,Ploima,Eurotatoria,Encentrum,Dicranophoridae,Encentrum tenuidigitatum,SPECIES,"1001810: Encentrum tenuidigitatum De Smet, 2000"
1002944,"Proales christinae De Smet, 1994",Animalia,Rotifera,Ploima,Eurotatoria,Proales,Proalidae,Proales christinae,SPECIES,"1002944: Proales christinae De Smet, 1994"
1003399,"Cephalodella segersi De Smet, 1998",Animalia,Rotifera,Ploima,Eurotatoria,Cephalodella,Notommatidae,Cephalodella segersi,SPECIES,"1003399: Cephalodella segersi De Smet, 1998"
1003567,"Pectinatella magnifica (Leidy, 1851)",Animalia,Bryozoa,Plumatellida,Phylactolaemata,Pectinatella,Pectinatellidae,Pectinatella magnifica,SPECIES,"1003567: Pectinatella magnifica (Leidy, 1851)"
1003652,"Cristatella mucedo Cuvier, 1798",Animalia,Bryozoa,Plumatellida,Phylactolaemata,Cristatella,Cristatellidae,Cristatella mucedo,SPECIES,"1003652: Cristatella mucedo Cuvier, 1798"
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Fenestrulina,Fenestrulinidae,Fenestrulina delicia,SPECIES,"1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000"
1012292,"Ommatoiulus sabulosus (Linnaeus, 1758)",Animalia,Arthropoda,Julida,Diplopoda,Ommatoiulus,Julidae,Ommatoiulus sabulosus,SPECIES,"1012292: Ommatoiulus sabulosus (Linnaeus, 1758)"
1020607,"Polydesmus angustus Latzel, 1884",Animalia,Arthropoda,Polydesmida,Diplopoda,Polydesmus,Polydesmidae,Polydesmus angustus,SPECIES,"1020607: Polydesmus angustus Latzel, 1884"
1029148,"Cypris reptans Baird, 1836",Animalia,Arthropoda,Podocopida,Ostracoda,Cypris,Cyprididae,Cypris reptans,SPECIES,"4987736: Herpetocypris reptans (Baird, 1835)"
1029515,"Cyprideis torosa (Jones, 1850)",Animalia,Arthropoda,Podocopida,Ostracoda,Cyprideis,Cytherideidae,Cyprideis torosa,SPECIES,"1029515: Cyprideis torosa (Jones, 1850)"
1029879,"Loxoconcha elliptica Brady, 1868",Animalia,Arthropoda,Podocopida,Ostracoda,Loxoconcha,Loxoconchidae,Loxoconcha elliptica,SPECIES,"1029879: Loxoconcha elliptica Brady, 1868"
1031394,"Ectopsocus petersi Smithers, 1978",Animalia,Arthropoda,Psocodea,Insecta,Ectopsocus,Ectopsocidae,Ectopsocus petersi,SPECIES,"1031394: Ectopsocus petersi Smithers, 1978"
1031400,"Ectopsocus briggsi McLachlan, 1899",Animalia,Arthropoda,Psocodea,Insecta,Ectopsocus,Ectopsocidae,Ectopsocus briggsi,SPECIES,"1031400: Ectopsocus briggsi McLachlan, 1899"
1031437,"Amphigerontia bifasciata (Latreille, 1799)",Animalia,Arthropoda,Psocodea,Insecta,Amphigerontia,Psocidae,Amphigerontia bifasciata,SPECIES,"1031437: Amphigerontia bifasciata (Latreille, 1799)"
1031438,"Amphigerontia contaminata (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Amphigerontia,Psocidae,Amphigerontia contaminata,SPECIES,"1031438: Amphigerontia contaminata (Stephens, 1836)"
1031470,"Loensia fasciata (Fabricius & J.C., 1787)",Animalia,Arthropoda,Psocodea,Insecta,Loensia,Psocidae,Loensia fasciata,SPECIES,"1031470: Loensia fasciata (Fabricius & J.C., 1787)"
1031490,"Philotarsus picicornis (Fabricius & J.C., 1793)",Animalia,Arthropoda,Psocodea,Insecta,Philotarsus,Philotarsidae,Philotarsus picicornis,SPECIES,"1031490: Philotarsus picicornis (Fabricius & J.C., 1793)"
1031528,"Liposcelis corrodens (Heymons, 1909)",Animalia,Arthropoda,Psocodea,Insecta,Liposcelis,Liposcelididae,Liposcelis corrodens,SPECIES,"1031528: Liposcelis corrodens (Heymons, 1909)"
1031573,"Peripsocus alboguttatus (Dalman, 1823)",Animalia,Arthropoda,Psocodea,Insecta,Peripsocus,Peripsocidae,Peripsocus alboguttatus,SPECIES,"1031573: Peripsocus alboguttatus (Dalman, 1823)"
1031575,"Peripsocus subfasciatus (Rambur, 1842)",Animalia,Arthropoda,Psocodea,Insecta,Peripsocus,Peripsocidae,Peripsocus subfasciatus,SPECIES,"1031575: Peripsocus subfasciatus (Rambur, 1842)"
1031576,"Peripsocus phaeopterus (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Peripsocus,Peripsocidae,Peripsocus phaeopterus,SPECIES,"1031576: Peripsocus phaeopterus (Stephens, 1836)"
1031582,"Peripsocus milleri (Tillyard, 1923)",Animalia,Arthropoda,Psocodea,Insecta,Peripsocus,Peripsocidae,Peripsocus milleri,SPECIES,"1031582: Peripsocus milleri (Tillyard, 1923)"
1031620,"Lachesilla pedicularia (Linnaeus, 1758)",Animalia,Arthropoda,Psocodea,Insecta,Lachesilla,Lachesillidae,Lachesilla pedicularia,SPECIES,"1031620: Lachesilla pedicularia (Linnaeus, 1758)"
1031653,"Elipsocus hyalinus (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Elipsocus,Elipsocidae,Elipsocus hyalinus,SPECIES,"1031653: Elipsocus hyalinus (Stephens, 1836)"
1031667,"Cuneopalpus cyanops (Rostock, 1876)",Animalia,Arthropoda,Psocodea,Insecta,Cuneopalpus,Elipsocidae,Cuneopalpus cyanops,SPECIES,"1031667: Cuneopalpus cyanops (Rostock, 1876)"
1031679,"Cerobasis guestfalica (Kolbe, 1880)",Animalia,Arthropoda,Psocodea,Insecta,Cerobasis,Trogiidae,Cerobasis guestfalica,SPECIES,"1031679: Cerobasis guestfalica (Kolbe, 1880)"
1031684,"Lepinotus patruelis Pearman & J.V., 1931",Animalia,Arthropoda,Psocodea,Insecta,Lepinotus,Trogiidae,Lepinotus patruelis,SPECIES,"1031684: Lepinotus patruelis Pearman & J.V., 1931"
1031692,"Graphopsocus cruciatus (Linnaeus, 1768)",Animalia,Arthropoda,Psocodea,Insecta,Graphopsocus,Stenopsocidae,Graphopsocus cruciatus,SPECIES,"1031692: Graphopsocus cruciatus (Linnaeus, 1768)"
1031710,"Valenzuela flavidus (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Valenzuela,Caeciliusidae,Valenzuela flavidus,SPECIES,"1031710: Valenzuela flavidus (Stephens, 1836)"
1031715,"Valenzuela atricornis (McLachlan, 1869)",Animalia,Arthropoda,Psocodea,Insecta,Valenzuela,Caeciliusidae,Valenzuela atricornis,SPECIES,"1031715: Valenzuela atricornis (McLachlan, 1869)"
