taxonKey	canonicalName	kingdom	class	year_2018_em_status_occupancy_pa	year_2018_em_status_observations_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_observations_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_observations_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_observations_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_observations_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_observations_BE	mean_growth	kingdomKey	classKey
4372686	Ruditapes philippinarum	Animalia	Bivalvia	3	3	3	3	3	3	3	3	3	3	3	3	NaN	1	137
1031394	Ectopsocus petersi	Animalia	Insecta	3	3	3	3	3	3	3	3	2	2	2	2	NaN	1	216
3170247	Asclepias syriaca	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	1	3	3	3	NaN	6	220
3172266	Jasminum nudiflorum	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	1	1	2	2	NaN	6	220
3112364	Cynara cardunculus	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	1	1	1	1	NaN	6	220
2495688	Streptopelia roseogrisea	Animalia	Aves	3	3	3	3	3	3	3	3	0	0	2	3	1.1867474794593909	1	212
2440946	Muntiacus reevesi	Animalia	Mammalia	3	3	3	3	3	3	3	2	2	3	3	2	NaN	1	359
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	3	3	3	3	3	3	3	2	1	1	3	3	NaN	6	220
1031400	Ectopsocus briggsi	Animalia	Insecta	3	3	3	3	3	3	2	2	3	3	3	3	NaN	1	216
3147815	Verbesina alternifolia	Plantae	Magnoliopsida	3	3	3	3	3	3	2	2	1	3	2	2	NaN	6	220
7989836	Symphytum caucasicum	Plantae	Magnoliopsida	3	3	3	3	3	3	2	2	1	1	2	2	NaN	6	220
2927744	Phlox paniculata	Plantae	Magnoliopsida	3	3	3	3	3	3	1	2	1	1	3	3	NaN	6	220
4486365	Nysius huttoni	Animalia	Insecta	3	3	3	3	3	2	3	3	2	2	2	2	NaN	1	216
8599762	Aproceros leucopoda	Animalia	Insecta	3	3	3	3	3	2	3	3	1	3	1	1	NaN	1	216
5598598	Lonicera acuminata	Plantae	Magnoliopsida	3	3	3	3	3	2	3	3	1	1	1	1	NaN	6	220
6387033	Equisetum hyemale affine	Plantae	Polypodiopsida	3	3	3	3	3	2	3	2	3	3	3	2	NaN	6	7228684
2684191	Taxodium distichum	Plantae	Pinopsida	3	3	3	3	2	3	3	3	3	3	3	3	NaN	6	194
5284982	Pinus strobus	Plantae	Pinopsida	3	3	3	3	2	3	2	3	3	3	3	3	1.0098722347125495	6	194
4264680	Myocastor coypus	Animalia	Mammalia	3	3	3	3	2	3	2	3	2	3	2	3	1.0767497057335536	1	359
3003709	Rosa glauca	Plantae	Magnoliopsida	3	3	3	3	2	3	2	3	2	3	2	3	1.0176397502502397	6	220
5414239	Ilex crenata	Plantae	Magnoliopsida	3	3	3	3	2	3	2	2	3	3	3	3	NaN	6	220
3690997	Cardamine occulta	Plantae	Magnoliopsida	3	3	3	3	2	3	2	2	2	2	2	2	NaN	6	220
2984676	Pachysandra terminalis	Plantae	Magnoliopsida	3	3	3	3	2	2	3	3	3	3	3	3	1.3289641328731845	6	220
2879098	Quercus ilex	Plantae	Magnoliopsida	3	3	3	3	2	2	3	3	3	3	3	3	NaN	6	220
5334240	Lonicera japonica Thunb.	Plantae	Magnoliopsida	3	3	3	3	2	2	3	3	3	3	2	2	NaN	6	220
2882443	Cabomba caroliniana	Plantae	Magnoliopsida	3	3	3	3	2	2	3	3	0	0	2	2	NaN	6	220
4567717	Boettgerilla pallens	Animalia	Gastropoda	3	3	3	3	2	2	2	2	3	3	3	3	NaN	1	225
4933624	Inula racemosa	Plantae	Magnoliopsida	3	3	3	3	2	2	2	2	2	2	2	2	NaN	6	220
5284950	Picea omorika	Plantae	Pinopsida	3	3	3	3	2	2	1	1	2	2	2	2	NaN	6	194
7322143	Oenothera victorinii	Plantae	Magnoliopsida	3	3	3	3	1	3	3	3		0	3	2	NaN	6	220
2684984	Araucaria araucana	Plantae	Pinopsida	3	3	3	3	1	3	1	2	1	1	3	3	NaN	6	194
2650829	Cyrtomium falcatum	Plantae	Polypodiopsida	3	3	3	3	1	1	3	3	1	1	3	3	NaN	6	7228684
4048240	Elaeagnus submacrophylla	Plantae	Magnoliopsida	3	3	3	3	1	1	3	3	1	1	1	1	NaN	6	220
5384931	Houttuynia cordata	Plantae	Magnoliopsida	3	3	3	3	1	1	3	3	1	1	1	1	NaN	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	3	3	3	3	1	1	2	3	1	1	3	3	1.1119594285901626	6	220
2489010	Acridotheres cristatellus	Animalia	Aves	3	3	3	3	1	1	2	3	1	1	1	1	NaN	1	212
7102937	Euonymus japonicus	Plantae	Magnoliopsida	3	3	3	3	1	1	2	2	3	3	2	2	NaN	6	220
3664589	Oenothera lindheimeri	Plantae	Magnoliopsida	3	3	3	3	1	1	2	2	1	1	1	1	NaN	6	220
5228080	Callipepla californica	Animalia	Aves	3	3	3	3	1	1	2	2	1	1	1	1	NaN	1	212
1311477	Vespa velutina	Animalia	Insecta	3	3	3	3	1	1	1	3				3	NaN	1	216
5284237	Cryptomeria japonica	Plantae	Pinopsida	3	3	3	3	1	1	1	2	1	1	3	2	NaN	6	194
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	3	3	3	3	1	1	1	1	3	3	3	3	NaN	6	220
2498411	Amazonetta brasiliensis	Animalia	Aves	3	3	3	3	1	1	1	1	3	2	3	2	NaN	1	212
3026105	Cotoneaster integrifolius	Plantae	Magnoliopsida	3	3	3	3	1	1	1	1	1	1	3	2	NaN	6	220
1031684	Lepinotus patruelis	Animalia	Insecta	3	3	3	3	1	1	1	1	1	1	1	1	NaN	1	216
1031742	Dorypteryx domestica	Animalia	Insecta	3	3	3	3	1	1	1	1	1	1	1	1	NaN	1	216
2495691	Streptopelia tranquebarica	Animalia	Aves	3	3	3	3	1	1	1	1	1	1	1	1	NaN	1	212
2857679	Allium macleanii	Plantae	Liliopsida	3	3	3	3	1	1	1	1	1	1	1	1	NaN	6	196
3169120	Euonymus alatus	Plantae	Magnoliopsida	3	3	3	3	1	1	1	1	1	1	1	1	NaN	6	220
5959231	Ara ararauna	Animalia	Aves	3	3	3	3	1	1	1	1	1	1	1	1	NaN	1	212
2985994	Hydrangea macrophylla	Plantae	Magnoliopsida	3	3	3	3	1	1	1	1			3	1	NaN	6	220
6369140	Prunus domestica domestica	Plantae	Magnoliopsida	3	3	3	3	0	1	2	2	1	1	1	1	NaN	6	220
5332120	Betula papyrifera	Plantae	Magnoliopsida	3	3	3	3	0	0	1	1	0	0	1	1	NaN	6	220
7262908	Acer cappadocicum	Plantae	Magnoliopsida	3	3	3	3	0	0	1	1	0	0	1	1	NaN	6	220
2683894	Xanthocyparis nootkatensis	Plantae	Pinopsida	3	3	3	3	0	0	0	1	0	0	0	1	NaN	6	194
2484628	Vidua macroura	Animalia	Aves	3	3	3	3	0	0	0	0	0	0	0	0	NaN	1	212
5959227	Ara macao	Animalia	Aves	3	3	3	3	0	0	0	0	0	0	0	0	NaN	1	212
7777960	Vaccinium macrocarpum	Plantae	Magnoliopsida	3	3	3	3	0	0	0	0	0	0	0	0	NaN	6	220
2925816	Cynoglossum amabile	Plantae	Magnoliopsida	3	3	3	2	3	3	3	3	1	1	1	1	NaN	6	220
2437619	Dolichotis patagonum	Animalia	Mammalia	3	3	3	2	3	3	3	2	1	1	1	2	NaN	1	359
2703041	Arundo donax	Plantae	Liliopsida	3	3	3	2	3	3	1	1	1	1	3	2	NaN	6	196
3663237	Cornus sanguinea australis	Plantae	Magnoliopsida	3	3	3	2	2	2	3	3	2	2	2	2	NaN	6	220
7645931	Salix acutifolia	Plantae	Magnoliopsida	3	3	3	2	2	2	2	3	1	1	1	1	NaN	6	220
2142456	Uloborus plumipes	Animalia	Arachnida	3	3	3	2	1	3	3	2	1	3	2	2	NaN	1	367
3064669	Euphorbia myrsinites	Plantae	Magnoliopsida	3	3	3	2	1	1	3	3	1	1	3	3	NaN	6	220
2914404	Galium verum wirtgenii	Plantae	Magnoliopsida	3	3	3	2	0	0	3	3	0	0	1	1	NaN	6	220
5328909	Sagittaria latifolia	Plantae	Liliopsida	3	3	3	1	3	3	2	1	2	2	2	1	0.9677709393392502	6	196
7270761	Actinidia deliciosa	Plantae	Magnoliopsida	3	3	3	1	3	3	2	1	1	1	2	1	0.8333235406244512	6	220
2891755	Oxalis latifolia	Plantae	Magnoliopsida	3	3	3	1	1	1	3	1	1	1	2	1	0.805659998752616	6	220
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	3	3	3	1	1	1	2	1	1	1	1	1	0.7061338795590993	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	3	3	3	0	1	1	3	0	3	3	1	0	0.7901922339910351	6	220
5227775	Phasianus versicolor	Animalia	Aves	3	3	2	3	3	3	3	3	3	3	3	3	NaN	1	212
2880580	Quercus cerris	Plantae	Magnoliopsida	3	3	2	3	3	3	3	3	2	2	2	3	1.1127823786954203	6	220
2498335	Cygnus melancoryphus	Animalia	Aves	3	3	2	3	3	3	2	3	1	1	1	3	1.128792599845709	1	212
3039046	Fatsia japonica	Plantae	Magnoliopsida	3	3	2	3	1	1	3	3	1	1	3	2	NaN	6	220
4127352	Sasaella ramosa	Plantae	Liliopsida	3	3	2	3	1	1	1	1	3	3	3	3	NaN	6	196
4046493	Polystichum luctuosum	Plantae	Polypodiopsida	3	3	2	2	1	2	3	3	1	3	3	3	NaN	6	7228684
2926992	Salvia hispanica	Plantae	Magnoliopsida	3	3	2	2	1	1	3	3			3	1	NaN	6	220
1749449	Cameraria ohridella	Animalia	Insecta	3	3	2	2	1	1	2	2	1	1	2	1	NaN	1	216
2857697	Allium cepa	Plantae	Liliopsida	3	3	2	1	3	3	3	3	1	1	1	2	NaN	6	196
5676646	Digitaria aequiglumis	Plantae	Liliopsida	3	3	2	1	3	2	2	1	0	0	2	1	0.9087904991410652	6	196
2480181	Psittacus erithacus	Animalia	Aves	3	3	2	1	2	2	2	1	2	2	2	1	0.9510040148369927	1	212
5406741	Sida spinosa	Plantae	Magnoliopsida	3	3	2	1	1	1	2	1	3	3	2	1	0.929164042608672	6	220
2480410	Parabuteo unicinctus	Animalia	Aves	3	3	2	0	2	3	2	0	1	3	2	2	0.9138872857812688	1	212
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	3	3	1	3	2	3	1	3	2	3	1	3	1.0680583432310071	6	220
2479544	Agapornis fischeri	Animalia	Aves	3	3	1	2	3	3	3	3	3	3	2	2	NaN	1	212
3026024	Cotoneaster ascendens	Plantae	Magnoliopsida	3	3	1	1	1	1	1	3	1	1	1	1	NaN	6	220
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	3	3	0	1	3	3	0	1	3	3	0	1	0.59557537419808	6	220
2775619	Yucca gloriosa	Plantae	Liliopsida	3	3	0	0	2	3	0	0	3	3	0	0	0.41925054977580717	6	196
3131614	Helichrysum italicum	Plantae	Magnoliopsida	3	2	3	3	3	3	3	3	3	3	3	3	NaN	6	220
7127354	Cyclamen coum	Plantae	Magnoliopsida	3	2	3	3	3	3	3	3	0	0	1	3	NaN	6	220
2227300	Procambarus clarkii	Animalia	Malacostraca	3	2	3	2	2	2	2	2	3	3	3	3	NaN	1	229
3188926	Oenothera pycnocarpa	Plantae	Magnoliopsida	3	2	3	2	1	3	3	3	3	2	3	2	NaN	6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	3	2	3	2	1	1	2	2	3	3	3	3	NaN	6	220
2685552	Abies nordmanniana	Plantae	Pinopsida	3	2	3	2	1	1	2	1	3	2	3	3	NaN	6	194
8946295	Pontastacus leptodactylus	Animalia	Malacostraca	3	2	3	2	1	1	1	1	1	1	1	2	NaN	1	229
5559837	Cymbalaria pallida	Plantae	Magnoliopsida	3	2	3	2	1	1	1	1	1	1	1	1	NaN	6	220
2115769	Austrominius modestus	Animalia	Maxillopoda	3	2	3	2	0	2	3	2	0	2	0	3	NaN	1	203
2876049	Corylus maxima	Plantae	Magnoliopsida	3	2	3	1	3	3	3	1	1	1	2	1	0.9698044766130591	6	220
5372614	Salix eriocephala	Plantae	Magnoliopsida	3	2	3	1	3	2	2	1	1	1	1	1	0.4672950898621394	6	220
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	3	2	3	1	2	2	2	1	3	3	3	3	0.9938168486890273	6	220
2867631	Lemna turionifera	Plantae	Liliopsida	3	2	3	1	2	2	2	1	2	2	2	1	0.646531280590807	6	196
2427091	Lithobates catesbeianus	Animalia	Amphibia	3	2	3	0	2	2	3	0	1	2	2	0	0.8645918966714251	1	131
2685484	Abies alba	Plantae	Pinopsida	3	2	2	3	2	2	2	3	3	2	3	3	1.179013429277249	6	194
2888579	Leycesteria formosa	Plantae	Magnoliopsida	3	2	2	2	3	3	3	3	1	1	1	1	NaN	6	220
5298765	Iris foetidissima	Plantae	Liliopsida	3	2	2	2	2	2	3	3	3	2	3	3	NaN	6	196
2379089	Neogobius melanostomus	Animalia	Actinopterygii	3	2	2	2	2	2	2	2	2	3	3	3	NaN	1	204
2434552	Nyctereutes procyonoides	Animalia	Mammalia	3	2	2	2	1	3	1	3	1	2	1	2	NaN	1	359
2739071	Trachycarpus fortunei	Plantae	Liliopsida	3	2	2	2	1	1	3	3	3	2	3	3	NaN	6	196
2489004	Acridotheres ginginianus	Animalia	Aves	3	2	2	2	1	1	1	1	1	1	3	3	NaN	1	212
2480800	Platalea alba	Animalia	Aves	3	2	2	2	0	0	0	0	1	1	1	1	NaN	1	212
5420991	Ludwigia peploides	Plantae	Magnoliopsida	3	2	2	1	3	3	2	1	3	3	3	1	0.8638937859019259	6	220
7315072	Papaver atlanticum	Plantae	Magnoliopsida	3	2	2	1	3	2	3	1	1	1	2	1	0.9768603405048782	6	220
5189713	Menetus dilatatus	Animalia	Gastropoda	3	2	2	1	0	3	2	3	0	3	1	2	NaN	1	225
7443846	Dipsacus strigosus	Plantae	Magnoliopsida	3	2	2	0	3	3	2	0	1	1	2	0	0.6303633947987822	6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	3	2	2	0	2	2	3	0	3	3	3	2	0.9560749242909047	6	220
5828216	Cenchrus flaccidus	Plantae	Liliopsida	3	2	1	1	1	1	1	1	1	1	1	1	NaN	6	196
5851603	Leuciscus aspius	Animalia	Actinopterygii	3	1	3	1	2	1	2	1	1	1	1	1	0.9005768849553223	1	204
7752288	Elaeagnus umbellata	Plantae	Magnoliopsida	3	1	2	1	3	1	3	1	1	1	1	1	0.8445173851240252	6	220
5361762	Myriophyllum heterophyllum	Plantae	Magnoliopsida	3	1	2	0	3	1	3	0	2	1	3	0	0.45571328711202275	6	220
5232452	Branta hutchinsii	Animalia	Aves	3	1	1	2	2	1	1	2	2	1	1	2	0.8646458327302986	1	212
2686157	Larix kaempferi	Plantae	Pinopsida	3	1	1	1	2	1	1	1	3	1	1	1	0.9597737340075324	6	194
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	3	1	1	0	2	1	1	0	3	1	1	0	0.6417054569099232	6	220
3067119	Euphorbia maculata	Plantae	Magnoliopsida	3	1	1	0	2	1	1	0	2	1	1	0	0.7375872136808198	6	220
2996525	Rubus armeniacus	Plantae	Magnoliopsida	3	1	1	0	2	1	1	0	2	1	1	0	0.6951309612595095	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	3	1	0	1	3	1	0	1	2	1	0	1	0.8956734584740058	6	220
3054357	Juglans nigra	Plantae	Magnoliopsida	3	1	0	1	2	3	0	1	3	3	0	1	0.9750440632298629	6	220
3033077	Aucuba japonica	Plantae	Magnoliopsida	3	1	0	1	2	1	0	3	2	1	0	3	1.0022150805464827	6	220
5281901	Campylopus introflexus	Plantae	Bryopsida	3	0	3	0	3	0	2	0	3	0	3	0	0.8586106260228152	6	327
2775530	Yucca flaccida	Plantae	Liliopsida	3	0	2	0	2	0	2	0	2	0	2	0	0.36222472612548706	6	196
6157035	Trachemys scripta troostii	Animalia	Reptilia	3	0	1	3	3	0	1	3	3	0	1	3	1.234035942804971	1	358
2706209	Pseudosasa japonica	Plantae	Liliopsida	3	0	1	3	2	2	1	3	2	2	1	3	1.324025556302478	6	196
2426661	Pelophylax ridibundus	Animalia	Amphibia	3	0	1	3	2	0	1	3	1	0	1	3	1.1835511619308792	1	131
7135755	Rhododendron luteum	Plantae	Magnoliopsida	3	0	1	0	2	0	1	0	3	0	1	0	0.35000496992935776	6	220
5415012	Linaria purpurea	Plantae	Magnoliopsida	3	0	1	0	2	0	1	0	2	0	1	0	0.6423943425912356	6	220
8323485	Haemorhous mexicanus	Animalia	Aves	2	3	3	3	3	3	2	2	3	3	3	3	NaN	1	212
2888585	Viburnum tinus	Plantae	Magnoliopsida	2	3	3	3	2	3	3	3	2	3	2	2	NaN	6	220
4565039	Hygromia cinctella	Animalia	Gastropoda	2	3	3	3	2	2	3	3	3	3	3	3	NaN	1	225
5671747	Cenchrus alopecuroides	Plantae	Liliopsida	2	3	3	3	1	1	2	2	3	3	3	3	NaN	6	196
3113637	Cirsium rivulare	Plantae	Magnoliopsida	2	3	2	3	1	3	1	3	2	3	2	3	1.194898027989975	6	220
6077549	Artemisia campestris maritima	Plantae	Magnoliopsida	2	3	2	3	1	1	1	1	2	2	2	2	NaN	6	220
3026154	Cotoneaster sternianus	Plantae	Magnoliopsida	2	3	2	2	3	3	2	2	2	3	2	2	0.9258436328688835	6	220
5232437	Branta canadensis	Animalia	Aves	2	3	2	2	2	3	2	2	2	3	2	2	0.9586168237634881	1	212
4565061	Cernuella neglecta	Animalia	Gastropoda	2	3	2	2	2	2	2	2	3	3	3	3	NaN	1	225
5328593	Aponogeton distachyos	Plantae	Liliopsida	2	3	2	2	2	1	1	1	1	1	1	1	NaN	6	196
6369819	Sambucus canadensis	Plantae	Magnoliopsida	2	3	2	2	1	1	1	1	3	3	2	2	NaN	6	220
8190231	Corbicula fluminea	Animalia	Bivalvia	2	3	1	3	3	3	1	3	3	3	1	3	1.1884039439618257	1	137
2747567	Crocus vernus	Plantae	Liliopsida	2	3	1	3	2	3	1	3	2	3	1	3	1.0357814002090222	6	196
3083680	Atriplex micrantha	Plantae	Magnoliopsida	2	3	1	1	2	2	1	1	1	1	1	1	0.6317744141379129	6	220
3026334	Cotoneaster divaricatus	Plantae	Magnoliopsida	2	3	1	1	1	3	1	1	2	3	1	1	0.6397179740738448	6	220
4259350	Tilia tomentosa	Plantae	Magnoliopsida	2	2	3	3	3	3	3	3	2	3	3	3	1.0253278873815024	6	220
5334194	Macleaya cordata	Plantae	Magnoliopsida	2	2	3	3	3	3	3	3	1	1	1	1	NaN	6	220
4568269	Paralaoma servilis	Animalia	Gastropoda	2	2	3	3	3	3	3	2	2	2	2	2	NaN	1	225
2765156	Tradescantia fluminensis	Plantae	Liliopsida	2	2	3	3	3	3	2	2	2	2	2	1	NaN	6	196
2985965	Deutzia scabra	Plantae	Magnoliopsida	2	2	3	3	2	3	2	3	3	3	3	3	1.2088386339296993	6	220
7156971	Oxalis triangularis	Plantae	Magnoliopsida	2	2	3	3	2	2	3	1	1	1	1	3	NaN	6	220
2772666	Hyacinthus orientalis	Plantae	Liliopsida	2	2	3	3	2	2	2	3	3	3	3	3	1.0142156749370674	6	196
3152824	Liquidambar styraciflua	Plantae	Magnoliopsida	2	2	3	3	2	2	2	2	3	3	3	3	NaN	6	220
3034015	Laurus nobilis	Plantae	Magnoliopsida	2	2	3	3	1	1	3	3	1	1	3	3	NaN	6	220
7560711	Oxalis tetraphylla	Plantae	Magnoliopsida	2	2	3	3	1	1	3	3	1	1	2	2	NaN	6	220
1450317	Telmatogeton japonicus	Animalia	Insecta	2	2	3	3	1	1	2	2	2	2	2	2	NaN	1	216
5421180	Koelreuteria paniculata	Plantae	Magnoliopsida	2	2	3	2	3	2	3	3	1	1	1	1	NaN	6	220
5372827	Salix irrorata	Plantae	Magnoliopsida	2	2	3	2	1	1	3	3			3	3	NaN	6	220
5329260	Egeria densa	Plantae	Liliopsida	2	2	3	2	1	1	2	2	1	1	3	2	NaN	6	196
7818643	Prunus armeniaca	Plantae	Magnoliopsida	2	2	3	2	1	1	1	1	1	1	1	1	NaN	6	220
8537667	Chondrilla juncea	Plantae	Magnoliopsida	2	2	3	1	2	2	2	1	2	2	2	1	0.721944598394894	6	220
2704523	Cortaderia selloana	Plantae	Liliopsida	2	2	3	0	2	3	2	0	3	3	3	0	0.6259167078406144	6	196
3664677	Oenothera subterminalis	Plantae	Magnoliopsida	2	2	2	3	3	3	3	3	3	3	3	3	1.177288058686437	6	220
2493660	Estrilda astrild	Animalia	Aves	2	2	2	3	3	3	2	3	3	3	2	3	1.1576585504750243	1	212
