taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2018_em_status_occupancy_pa	year_2018_em_status_occurrences_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_occurrences_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_occurrences_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_occurrences_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_occurrences_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_occurrences_BE	kingdomKey	classKey
2481110	Phoenicopterus chilensis	Animalia	Aves	72	2.146470256781284	3	3	3	3	3	3	3	3	3	3	3	3	1	212
2867631	Lemna turionifera	Plantae	Liliopsida	72	2.054565383947283	3	3	3	3	3	3	3	3	3	3	3	3	6	196
2142456	Uloborus plumipes	Animalia	Arachnida	72	1.4442494736594012	3	3	3	3	3	3	3	3	3	3	3	3	1	367
2891707	Oxalis debilis	Plantae	Magnoliopsida	72	1.3307086432852875	3	3	3	3	3	3	3	3	3	3	3	3	6	220
2772666	Hyacinthus orientalis	Plantae	Liliopsida	72	1.3082898985353224	3	3	3	3	3	3	3	3	3	3	3	3	6	196
3033077	Aucuba japonica	Plantae	Magnoliopsida	72	1.2164959704484453	3	3	3	3	3	3	3	3	3	3	3	3	6	220
3171888	Lindernia dubia	Plantae	Magnoliopsida	72	1.2059507054604983	3	3	3	3	3	3	3	3	3	3	3	3	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	72	1.1501880396497393	3	3	3	3	3	3	3	3	3	3	3	3	6	220
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	72	1.140466638160817	3	3	3	3	3	3	3	3	3	3	3	3	6	220
2439261	Rattus norvegicus	Animalia	Mammalia	72	1.1216428984000872	3	3	3	3	3	3	3	3	3	3	3	3	1	359
4259350	Tilia tomentosa	Plantae	Magnoliopsida	72	1.1203569386742882	3	3	3	3	3	3	3	3	3	3	3	3	6	220
3054357	Juglans nigra	Plantae	Magnoliopsida	72	1.0886596882134174	3	3	3	3	3	3	3	3	3	3	3	3	6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	72	1.0666183377016412	3	3	3	3	3	3	3	3	3	3	3	3	6	220
7135755	Rhododendron luteum	Plantae	Magnoliopsida	72	1.0495516604594346	3	3	3	3	3	3	3	3	3	3	3	3	6	220
2686157	Larix kaempferi	Plantae	Pinopsida	72	1.0398731850725687	3	3	3	3	3	3	3	3	3	3	3	3	6	194
2684191	Taxodium distichum	Plantae	Pinopsida	72	NaN	3	3	3	3	3	3	3	3	3	3	3	3	6	194
4372686	Ruditapes philippinarum	Animalia	Bivalvia	72	NaN	3	3	3	3	3	3	3	3	3	3	3	3	1	137
6157035	Trachemys scripta troostii	Animalia	Reptilia	70.5	1.093693938514319	3	3	3	3	3	3	3	3	3	2	3	3	1	358
5227775	Phasianus versicolor	Animalia	Aves	69.5	1.934140463692964	3	3	2	3	3	3	3	3	3	3	3	3	1	212
2440946	Muntiacus reevesi	Animalia	Mammalia	69.5	NaN	3	3	3	3	3	3	3	2	3	3	3	2	1	359
3131614	Helichrysum italicum	Plantae	Magnoliopsida	69.5	NaN	3	2	3	3	3	3	3	3	3	3	3	3	6	220
4264680	Myocastor coypus	Animalia	Mammalia	68.5	1.3827207634938046	3	3	3	3	3	3	3	3	2	3	2	3	1	359
1031400	Ectopsocus briggsi	Animalia	Insecta	68.5	NaN	3	3	3	3	3	3	2	2	3	3	3	3	1	216
5420991	Ludwigia peploides	Plantae	Magnoliopsida	67.5	1.3586580915426332	3	3	2	3	3	3	2	3	3	3	3	3	6	220
4565039	Hygromia cinctella	Animalia	Gastropoda	67.5	NaN	3	3	3	3	2	2	3	3	3	3	3	3	1	225
8323485	Haemorhous mexicanus	Animalia	Aves	67	1.8939075697490617	2	3	3	3	3	3	2	3	3	3	3	3	1	212
2879098	Quercus ilex	Plantae	Magnoliopsida	67	1.8896162984176965	3	1	3	3	3	3	3	3	3	3	3	3	6	220
2495414	Columba livia	Animalia	Aves	67	1.185687365519447	3	1	3	3	3	3	3	3	3	3	3	3	1	212
5369784	Geum macrophyllum	Plantae	Magnoliopsida	67	1.069271350627424	3	3	1	3	3	3	3	3	3	3	3	3	6	220
2498156	Anas undulata	Animalia	Aves	66.5	3.0726855275747877	2	3	2	3	3	3	3	3	3	3	3	3	1	212
3664677	Oenothera subterminalis	Plantae	Magnoliopsida	66.5	1.026739682664325	2	2	3	3	3	3	3	3	3	3	3	3	6	220
