nubKey	key	dataset_scientificname	datasetKey	scientificName	kingdom	taxonomicStatus	acceptedKey	accepted
6	134839804	Plantae	9ff7d317-609b-4c08-bd86-3bc404b77c42	Plantae	Plantae	ACCEPTED	NA	NA
6	139343282	Plantae	87e99777-7f54-4209-9688-cbf7a9179ebe	Plantae	Plantae	ACCEPTED	NA	NA
49	139343334	Magnoliophyta	87e99777-7f54-4209-9688-cbf7a9179ebe	Magnoliophyta	Plantae	SYNONYM	7707728	Tracheophyta
59	139343283	Pteridophyta	87e99777-7f54-4209-9688-cbf7a9179ebe	Pteridophyta	Plantae	SYNONYM	7707728	Tracheophyta
194	139344105	Pinopsida	87e99777-7f54-4209-9688-cbf7a9179ebe	Pinopsida	Plantae	ACCEPTED	NA	NA
196	139343923	Liliopsida	87e99777-7f54-4209-9688-cbf7a9179ebe	Liliopsida	Plantae	ACCEPTED	NA	NA
220	139343335	Magnoliopsida	87e99777-7f54-4209-9688-cbf7a9179ebe	Magnoliopsida	Plantae	ACCEPTED	NA	NA
392	139343308	Polypodiales	87e99777-7f54-4209-9688-cbf7a9179ebe	Polypodiales	Plantae	ACCEPTED	NA	NA
393	139343330	Ophioglossales	87e99777-7f54-4209-9688-cbf7a9179ebe	Ophioglossales	Plantae	ACCEPTED	NA	NA
399	139343622	Ranunculales	87e99777-7f54-4209-9688-cbf7a9179ebe	Ranunculales	Plantae	ACCEPTED	NA	NA
408	139343526	Lamiales	87e99777-7f54-4209-9688-cbf7a9179ebe	Lamiales	Plantae	ACCEPTED	NA	NA
412	139343552	Gentianales	87e99777-7f54-4209-9688-cbf7a9179ebe	Gentianales	Plantae	ACCEPTED	NA	NA
414	139343803	Asterales	87e99777-7f54-4209-9688-cbf7a9179ebe	Asterales	Plantae	ACCEPTED	NA	NA
420	139343285	Selaginellales	87e99777-7f54-4209-9688-cbf7a9179ebe	Selaginellales	Plantae	ACCEPTED	NA	NA
